b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
5000,829,10,0.157,829,1116,5100,50148,2,100,0.303,bi_a100_b5000_p10%_v2.col,0.2281
5000,805,10,0.1454,805,1083,5100,49276,3,100,0.3038,bi_a100_b5000_p10%_v3.col,0.2072
5000,822,10,0.1478,822,1090,5100,49859,4,100,0.309,bi_a100_b5000_p10%_v4.col,0.2128
5000,832,10,0.1546,832,1097,5100,50013,5,100,0.3043,bi_a100_b5000_p10%_v5.col,0.2172
5000,2283,20,0.5286,2283,2802,5100,99729,1,100,0.863,bi_a100_b5000_p20%_v1.col,0.7987
5000,2282,20,0.5508,2282,2809,5100,99940,2,100,0.869,bi_a100_b5000_p20%_v2.col,0.8044
5000,2286,20,0.5486,2286,2791,5100,99813,3,100,0.8639,bi_a100_b5000_p20%_v3.col,0.8161
5000,2268,20,0.5505,2268,2808,5100,99803,4,100,0.8714,bi_a100_b5000_p20%_v4.col,0.8478
5000,2266,20,0.5342,2266,2800,5100,99635,5,100,0.8487,bi_a100_b5000_p20%_v5.col,0.7348
5000,4674,30,1.1625,4674,4707,5100,150542,1,100,1.682,bi_a100_b5000_p30%_v1.col,1.56
5000,4673,30,1.1596,4673,4715,5100,150316,2,100,1.7121,bi_a100_b5000_p30%_v2.col,1.7978
5000,4669,30,1.1607,4669,4708,5100,149916,3,100,1.6781,bi_a100_b5000_p30%_v3.col,1.6589
5000,4648,30,1.1473,4648,4688,5100,149950,4,100,1.6702,bi_a100_b5000_p30%_v4.col,1.4716
5000,4659,30,1.1527,4659,4702,5100,149612,5,100,1.6715,bi_a100_b5000_p30%_v5.col,1.4921
5000,5055,40,2.01,5055,5036,5100,200269,1,100,2.741,bi_a100_b5000_p40%_v1.col,2.9229
5000,5062,40,1.9813,5062,5038,5100,200106,2,100,2.6939,bi_a100_b5000_p40%_v2.col,3.06
5000,5058,40,1.9368,5058,5035,5100,199535,3,100,2.6586,bi_a100_b5000_p40%_v3.col,2.4756
5000,5060,40,1.9342,5060,5034,5100,199993,4,100,2.6454,bi_a100_b5000_p40%_v4.col,2.8265
5000,5058,40,1.9461,5058,5036,5100,200259,5,100,2.6656,bi_a100_b5000_p40%_v5.col,2.5682
5000,5072,50,2.9628,5072,5060,5100,250278,1,100,3.929,bi_a100_b5000_p50%_v1.col,3.8411
5000,5072,50,2.9337,5072,5057,5100,249787,2,100,3.8968,bi_a100_b5000_p50%_v2.col,4.2932
