mean_fit_t,b,c,mean_upd_t,mean_init_t,se_init_t,mean_mut_t,se_fit_t,se_mut_t,se_upd_t,N,M,v,mean_sel_t,a,se_cross_t,se_sel_t,mean_cross_t,instancia
0.57997,10,20,0.0,0.58323,0.0024,0.0,0.0027,0.0,0.0,1660,1560,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v4.col
0.5413,10,20,0.0,0.54492,0.0032,0.0,0.0028,0.0,0.0,1571,1471,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c20_v5.col
0.87628,10,30,0.0,0.87921,0.0826,0.0,0.0822,0.0,0.0,2041,1941,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v1.col
0.8633,10,30,0.0,0.8663,0.011,0.0,0.0108,0.0,0.0,2092,1992,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v2.col
0.99731,10,30,0.0,1.00232,0.0847,0.0,0.0843,0.0,0.0,2188,2088,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v3.col
0.76731,10,30,0.0,0.76986,0.0032,0.0,0.0032,0.0,0.0,2001,1901,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v4.col
0.7604,10,30,0.0,0.76458,0.0021,0.0,0.0023,0.0,0.0,1985,1885,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c30_v5.col
1.28944,10,40,0.0,1.29298,0.0953,0.0,0.0949,0.0,0.0,2631,2531,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v1.col
1.32377,10,40,0.0,1.32959,0.0851,0.0,0.0852,0.0,0.0,2674,2574,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v2.col
1.09433,10,40,0.0,1.09736,0.006,0.0,0.006,0.0,0.0,2496,2396,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v3.col
1.10212,10,40,0.0,1.10775,0.0773,0.0,0.0771,0.0,0.0,2400,2300,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v4.col
1.15077,10,40,0.0,1.1543,0.0056,0.0,0.0052,0.0,0.0,2555,2455,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c40_v5.col
1.58831,10,50,0.0,1.59436,0.0784,0.0,0.078,0.0,0.0,2995,2895,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v1.col
1.58158,10,50,0.0,1.58648,0.0781,0.0,0.0779,0.0,0.0,3021,2921,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v2.col
1.63284,10,50,0.0,1.63804,0.0774,0.0,0.0772,0.0,0.0,3012,2912,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v3.col
1.79786,10,50,0.0,1.80526,0.0783,0.0,0.0778,0.0,0.0,3256,3156,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v4.col
1.67693,10,50,0.0,1.68359,0.0863,0.0,0.0862,0.0,0.0,3075,2975,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c50_v5.col
1.9913,10,60,0.0,1.99714,0.1001,0.0,0.0994,0.0,0.0,3448,3348,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v1.col
2.0897,10,60,0.0,2.09992,0.0863,0.0,0.0857,0.0,0.0,3563,3463,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v2.col
2.19897,10,60,0.0,2.20662,0.1055,0.0,0.105,0.0,0.0,3582,3482,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v3.col
2.05115,10,60,0.0,2.05955,0.0834,0.0,0.0834,0.0,0.0,3518,3418,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v4.col
2.21133,10,60,0.0,2.22052,0.0784,0.0,0.0785,0.0,0.0,3714,3614,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c60_v5.col
2.47246,10,70,0.0,2.48024,0.0726,0.0,0.0723,0.0,0.0,3990,3890,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v1.col
2.79188,10,70,0.0,2.80012,0.0936,0.0,0.0934,0.0,0.0,4165,4065,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v2.col
2.91777,10,70,0.0,2.92553,0.074,0.0,0.0737,0.0,0.0,4326,4226,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v3.col
2.73262,10,70,0.0,2.74049,0.0728,0.0,0.0724,0.0,0.0,4240,4140,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v4.col
2.48046,10,70,0.0,2.48872,0.0648,0.0,0.0645,0.0,0.0,3969,3869,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c70_v5.col
3.17676,10,80,0.0,3.18537,0.1066,0.0,0.1061,0.0,0.0,4490,4390,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v1.col
3.61049,10,80,0.0,3.61975,0.0749,0.0,0.0744,0.0,0.0,4929,4829,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v2.col
3.51058,10,80,0.0,3.52002,0.1024,0.0,0.1021,0.0,0.0,4785,4685,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v3.col
3.46051,10,80,0.0,3.46961,0.0788,0.0,0.0784,0.0,0.0,4712,4612,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v4.col
3.11025,10,80,0.0,3.1191,0.0787,0.0,0.0784,0.0,0.0,4537,4437,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v5.col
3.99691,10,90,0.0,4.00628,0.0887,0.0,0.088,0.0,0.0,5110,5010,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v1.col
4.28383,10,90,0.0,4.29327,0.0845,0.0,0.0838,0.0,0.0,5347,5247,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v2.col
4.33755,10,90,0.0,4.347,0.0547,0.0,0.0545,0.0,0.0,5523,5423,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v3.col
4.22553,10,90,0.0,4.23457,0.0898,0.0,0.089,0.0,0.0,5349,5249,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v4.col
4.30928,10,90,0.0,4.31883,0.0957,0.0,0.0954,0.0,0.0,5416,5316,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v5.col
0.0971,10,100,0.0,0.09809,0.0011,0.0,0.0012,0.0,0.0,510,500,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v1.col
0.14091,10,100,0.0,0.14241,0.0009,0.0,0.0007,0.0,0.0,650,640,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v2.col
0.12232,10,100,0.0,0.1241,0.001,0.0,0.0007,0.0,0.0,600,590,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v3.col
0.12342,10,100,0.0,0.12639,0.0003,0.0,0.0003,0.0,0.0,601,591,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v4.col
0.10567,10,100,0.0,0.10702,0.0004,0.0,0.0005,0.0,0.0,545,535,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v5.col
0.01732,10,20,0.0,0.01827,0.0004,0.0,0.0003,0.0,0.0,164,154,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v1.col
0.01624,10,20,0.0,0.01703,0.0005,0.0,0.0004,0.0,0.0,159,149,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v2.col
0.01664,10,20,0.0,0.01737,0.0006,0.0,0.0004,0.0,0.0,160,150,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v3.col
0.0147,10,20,0.0,0.01498,0.0005,0.0,0.0005,0.0,0.0,147,137,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v4.col
0.01805,10,20,0.0,0.0184,0.0004,0.0,0.0005,0.0,0.0,167,157,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v5.col
0.02696,10,30,0.0,0.02736,0.0004,0.0,0.0004,0.0,0.0,218,208,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v1.col
0.0278,10,30,0.0,0.0282,0.0005,0.0,0.0005,0.0,0.0,222,212,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v2.col
0.02562,10,30,0.0,0.026,0.0004,0.0,0.0004,0.0,0.0,208,198,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v3.col
0.02378,10,30,0.0,0.02412,0.0004,0.0,0.0004,0.0,0.0,196,186,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v4.col
0.02582,10,30,0.0,0.02621,0.0005,0.0,0.0005,0.0,0.0,212,202,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v5.col
0.03085,10,40,0.0,0.03128,0.0005,0.0,0.0005,0.0,0.0,245,235,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v1.col
0.03193,10,40,0.0,0.03236,0.0004,0.0,0.0004,0.0,0.0,246,236,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v2.col
0.03788,10,40,0.0,0.03864,0.0006,0.0,0.0006,0.0,0.0,279,269,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v3.col
0.03393,10,40,0.0,0.0346,0.0005,0.0,0.0005,0.0,0.0,259,249,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v4.col
0.03386,10,40,0.0,0.03499,0.0006,0.0,0.0006,0.0,0.0,262,252,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v5.col
0.04888,10,50,0.0,0.0505,0.0006,0.0,0.0005,0.0,0.0,337,327,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v1.col
0.05611,10,50,0.0,0.05687,0.0002,0.0,0.0002,0.0,0.0,376,366,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v2.col
0.05269,10,50,0.0,0.0539,0.0005,0.0,0.0006,0.0,0.0,351,341,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v3.col
0.04005,10,50,0.0,0.04164,0.0004,0.0,0.0006,0.0,0.0,286,276,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v4.col
0.04697,10,50,0.0,0.04768,0.0005,0.0,0.0005,0.0,0.0,320,310,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v5.col
0.05602,10,60,0.0,0.05675,0.0005,0.0,0.0005,0.0,0.0,360,350,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c60_v1.col
0.03677,10,60,0.0,0.03741,0.0005,0.0,0.0005,0.0,0.0,261,251,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c60_v2.col
0.03511,10,60,0.0,0.03622,0.0006,0.0,0.0006,0.0,0.0,259,249,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c60_v3.col
