instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a10_b10_c90_v1.col,10,10,90,1,550,540,90.0,0.0,0.23411,0.0113,61.18846130371094,55.86270751953125
galaxy_a15_b10_c100_v1.col,15,10,100,1,876,861,94.0,0.0,0.78282,0.0014,87.84842681884766,87.76693572998047
galaxy_a15_b10_c20_v1.col,15,10,20,1,251,236,25.8,0.2,0.70655,0.3445,100.83512878417969,74.26530456542969
galaxy_a15_b10_c30_v1.col,15,10,30,1,305,290,31.0,0.0,0.27653,0.0216,89.260009765625,62.79238586425781
galaxy_a15_b10_c40_v1.col,15,10,40,1,423,408,40.0,0.0,0.46989,0.0205,68.23779296875,57.119117736816406
galaxy_a15_b10_c50_v1.col,15,10,50,1,461,446,48.0,0.0,0.36003,0.0075,41.570167541503906,37.46525573730469
galaxy_a15_b10_c60_v1.col,15,10,60,1,599,584,59.0,0.0,0.62363,0.0245,81.9476547241211,72.15803985595703
galaxy_a15_b10_c70_v1.col,15,10,70,1,487,472,67.0,0.0,0.28158,0.0095,67.01367950439453,62.312513732910155
galaxy_a15_b10_c80_v1.col,15,10,80,1,551,536,74.0,0.0,0.25953,0.0006,62.08757781982422,61.314248657226564
galaxy_a15_b10_c90_v1.col,15,10,90,1,705,690,85.0,0.0,0.40401,0.0006,52.77930450439453,52.609205627441405
galaxy_a20_b10_c100_v1.col,20,10,100,1,1027,1007,95.0,0.0,0.68886,0.0013,62.88911437988281,62.809210205078124
galaxy_a20_b10_c20_v1.col,20,10,20,1,289,269,28.4,0.4,2.77888,1.0024,216.54302215576172,134.10702209472657
galaxy_a20_b10_c30_v1.col,20,10,30,1,391,371,30.8,0.2,0.86312,0.106,124.19369506835938,95.2557861328125
galaxy_a20_b10_c40_v1.col,20,10,40,1,595,575,43.0,0.0,1.0894,0.0322,105.22156524658203,88.30055694580078
galaxy_a20_b10_c50_v1.col,20,10,50,1,621,601,49.0,0.0,0.81655,0.0554,107.62242126464844,72.47691497802734
galaxy_a20_b10_c60_v1.col,20,10,60,1,845,825,59.0,0.0,1.37356,0.0391,107.00782012939453,84.70663299560547
galaxy_a20_b10_c70_v1.col,20,10,70,1,863,843,71.0,0.0,0.72879,0.0207,99.14024353027344,89.48819580078126
galaxy_a20_b10_c80_v1.col,20,10,80,1,923,903,78.0,0.0,0.99615,0.0373,103.40406036376953,56.96182098388672
galaxy_a20_b10_c90_v1.col,20,10,90,1,1013,993,86.0,0.0,0.78176,0.0016,77.98580169677734,77.81944427490234
galaxy_a25_b10_c100_v1.col,25,10,100,1,1373,1348,99.0,0.0,2.02936,0.0528,86.88068389892578,76.67790985107422
galaxy_a25_b10_c20_v1.col,25,10,20,1,387,362,33.8,0.3742,1.65169,0.4371,145.1489486694336,91.94743194580079
galaxy_a25_b10_c30_v1.col,25,10,30,1,557,532,37.8,0.3742,2.81636,0.9043,198.42373657226562,109.34401092529296
galaxy_a25_b10_c40_v1.col,25,10,40,1,604,579,41.0,0.0,1.56197,0.3722,108.93463897705078,83.01438598632812
galaxy_a25_b10_c50_v1.col,25,10,50,1,797,772,50.0,0.0,1.2328,0.0594,116.57921600341797,96.08444366455078
galaxy_a25_b10_c60_v1.col,25,10,60,1,814,789,60.0,0.0,0.9905,0.0162,75.9957046508789,64.52817993164062
galaxy_a25_b10_c70_v1.col,25,10,70,1,1030,1005,71.0,0.0,1.46464,0.1,78.78192901611328,67.83105926513672
galaxy_a25_b10_c80_v1.col,25,10,80,1,1071,1046,78.0,0.0,1.05957,0.0373,112.2701416015625,102.32945404052734
galaxy_a25_b10_c90_v1.col,25,10,90,1,1220,1195,90.0,0.0,1.17469,0.0027,103.63831329345703,103.61422119140624
galaxy_a30_b10_c100_v1.col,30,10,100,1,1837,1807,100.0,0.0,3.87156,0.1564,97.49396514892578,88.06894073486328
galaxy_a30_b10_c20_v1.col,30,10,20,1,479,449,38.8,0.3742,2.57071,0.719,142.67417907714844,120.59609680175781
galaxy_a30_b10_c30_v1.col,30,10,30,1,561,531,39.4,0.4,3.19553,1.9186,223.8591079711914,120.9116439819336
galaxy_a30_b10_c40_v1.col,30,10,40,1,839,809,45.8,0.3742,5.68264,0.5359,235.43201446533203,153.96869049072265
galaxy_a30_b10_c50_v1.col,30,10,50,1,984,954,51.8,0.2,5.61762,1.2868,184.65384674072266,143.87003173828126
galaxy_a30_b10_c60_v1.col,30,10,60,1,1088,1058,61.0,0.0,1.94346,0.1109,96.34239959716797,83.53794403076172
galaxy_a30_b10_c70_v1.col,30,10,70,1,1148,1118,71.0,0.0,1.44955,0.038,117.1247787475586,74.79120330810547
galaxy_a30_b10_c80_v1.col,30,10,80,1,1403,1373,81.0,0.0,2.02108,0.0515,89.08655548095703,81.871533203125
galaxy_a30_b10_c90_v1.col,30,10,90,1,1608,1578,92.0,0.0,3.1712,0.0811,97.1427001953125,71.13263244628907
galaxy_a35_b10_c100_v1.col,35,10,100,1,1935,1900,101.0,0.0,3.88967,0.1092,83.77851867675781,72.88521423339844
galaxy_a35_b10_c20_v1.col,35,10,20,1,556,521,43.2,0.2,6.42247,2.0864,312.64129638671875,195.87138824462892
galaxy_a35_b10_c30_v1.col,35,10,30,1,743,708,46.0,0.3162,5.03685,1.9781,244.65234375,114.15145111083984
galaxy_a35_b10_c40_v1.col,35,10,40,1,996,961,52.6,0.4,7.13499,1.2919,215.1757354736328,156.7549819946289
galaxy_a35_b10_c50_v1.col,35,10,50,1,1115,1080,54.2,0.3742,8.96405,1.7277,251.93826293945312,174.06708068847655
galaxy_a35_b10_c60_v1.col,35,10,60,1,1295,1260,62.0,0.0,7.03722,0.9259,146.36244201660156,122.78943634033203
galaxy_a35_b10_c70_v1.col,35,10,70,1,1521,1486,71.2,0.2,10.16595,1.8986,305.9716262817383,173.79060821533204
galaxy_a35_b10_c80_v1.col,35,10,80,1,1668,1633,81.0,0.0,5.71369,0.869,154.81182861328125,104.32388458251953
