instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a15_b10_c30_v5.col,15,10,30,5,345,330,32,0.00017535,MinGrau
galaxy_a15_b10_c40_v1.col,15,10,40,1,423,408,40,0.000233851,MinGrau
galaxy_a15_b10_c40_v2.col,15,10,40,2,435,420,41,0.000240543,MinGrau
galaxy_a15_b10_c40_v3.col,15,10,40,3,358,343,41,0.000186001,MinGrau
galaxy_a15_b10_c40_v4.col,15,10,40,4,341,326,38,0.00017309,MinGrau
galaxy_a15_b10_c40_v5.col,15,10,40,5,360,345,39,0.000178555,MinGrau
galaxy_a15_b10_c50_v1.col,15,10,50,1,461,446,48,0.000264714,MinGrau
galaxy_a15_b10_c50_v2.col,15,10,50,2,465,450,50,0.000267415,MinGrau
galaxy_a15_b10_c50_v3.col,15,10,50,3,546,531,51,0.000357095,MinGrau
galaxy_a15_b10_c50_v4.col,15,10,50,4,372,357,49,0.000205127,MinGrau
galaxy_a15_b10_c50_v5.col,15,10,50,5,497,482,51,0.000283361,MinGrau
galaxy_a15_b10_c60_v1.col,15,10,60,1,599,584,59,0.000417782,MinGrau
galaxy_a15_b10_c60_v2.col,15,10,60,2,580,565,61,0.000361207,MinGrau
galaxy_a15_b10_c60_v3.col,15,10,60,3,510,495,60,0.000297517,MinGrau
galaxy_a15_b10_c60_v4.col,15,10,60,4,509,494,56,0.000304675,MinGrau
galaxy_a15_b10_c60_v5.col,15,10,60,5,537,522,60,0.000310212,MinGrau
galaxy_a15_b10_c70_v1.col,15,10,70,1,487,472,67,0.000283411,MinGrau
galaxy_a15_b10_c70_v2.col,15,10,70,2,547,532,62,0.000362432,MinGrau
galaxy_a15_b10_c70_v3.col,15,10,70,3,590,575,59,0.000368861,MinGrau
galaxy_a15_b10_c70_v4.col,15,10,70,4,674,659,71,0.000488489,MinGrau
galaxy_a15_b10_c70_v5.col,15,10,70,5,712,697,70,0.0005195,MinGrau
galaxy_a15_b10_c80_v1.col,15,10,80,1,551,536,74,0.000350826,MinGrau
galaxy_a15_b10_c80_v2.col,15,10,80,2,694,679,76,0.000519074,MinGrau
galaxy_a15_b10_c80_v3.col,15,10,80,3,589,574,80,0.000372483,MinGrau
galaxy_a15_b10_c80_v4.col,15,10,80,4,657,642,78,0.000476085,MinGrau
galaxy_a15_b10_c80_v5.col,15,10,80,5,832,817,81,0.000677118,MinGrau
galaxy_a15_b10_c90_v1.col,15,10,90,1,705,690,85,0.00052114,MinGrau
galaxy_a15_b10_c90_v2.col,15,10,90,2,820,805,89,0.000649386,MinGrau
galaxy_a15_b10_c90_v3.col,15,10,90,3,782,767,83,0.000623015,MinGrau
galaxy_a15_b10_c90_v4.col,15,10,90,4,711,696,91,0.000546173,MinGrau
galaxy_a15_b10_c90_v5.col,15,10,90,5,666,651,91,0.000454151,MinGrau
galaxy_a20_b10_c100_v1.col,20,10,100,1,1027,1007,95,0.000912526,MinGrau
galaxy_a20_b10_c100_v2.col,20,10,100,2,1192,1172,94,0.001170929,MinGrau
galaxy_a20_b10_c100_v3.col,20,10,100,3,1059,1039,99,0.000985331,MinGrau
galaxy_a20_b10_c100_v4.col,20,10,100,4,1104,1084,94,0.001042544,MinGrau
galaxy_a20_b10_c100_v5.col,20,10,100,5,1189,1169,99,0.001194685,MinGrau
galaxy_a20_b10_c20_v1.col,20,10,20,1,289,269,30,0.000134973,MinGrau
galaxy_a20_b10_c20_v2.col,20,10,20,2,327,307,31,0.000152904,MinGrau
galaxy_a20_b10_c20_v3.col,20,10,20,3,318,298,30,0.00014412,MinGrau
galaxy_a20_b10_c20_v4.col,20,10,20,4,309,289,30,0.000136527,MinGrau
galaxy_a20_b10_c20_v5.col,20,10,20,5,318,298,30,0.000147444,MinGrau
galaxy_a20_b10_c30_v1.col,20,10,30,1,391,371,31,0.000197062,MinGrau
galaxy_a20_b10_c30_v2.col,20,10,30,2,448,428,33,0.000234015,MinGrau
galaxy_a20_b10_c30_v3.col,20,10,30,3,433,413,33,0.00022242,MinGrau
galaxy_a20_b10_c30_v4.col,20,10,30,4,429,409,32,0.000217176,MinGrau
galaxy_a20_b10_c30_v5.col,20,10,30,5,427,407,34,0.000210857,MinGrau
galaxy_a20_b10_c40_v1.col,20,10,40,1,595,575,43,0.000346185,MinGrau
galaxy_a20_b10_c40_v2.col,20,10,40,2,580,560,43,0.000328635,MinGrau
galaxy_a20_b10_c40_v3.col,20,10,40,3,503,483,42,0.000277789,MinGrau
galaxy_a20_b10_c40_v4.col,20,10,40,4,483,463,41,0.000253953,MinGrau
galaxy_a20_b10_c40_v5.col,20,10,40,5,545,525,41,0.00031055,MinGrau
galaxy_a20_b10_c50_v1.col,20,10,50,1,621,601,49,0.000427373,MinGrau
galaxy_a20_b10_c50_v2.col,20,10,50,2,674,654,51,0.000461033,MinGrau
