instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a100_b10_c20_v2.col,100,10,20,2,1614,1514,1515,0.029513865,110,0.001914747,1515,0.02553642
galaxy_a100_b10_c20_v3.col,100,10,20,3,1561,1461,1462,0.027512317,110,0.001757328,1462,0.02372233
galaxy_a100_b10_c20_v4.col,100,10,20,4,1660,1560,1561,0.031373898,110,0.001926468,1561,0.027065899
galaxy_a100_b10_c20_v5.col,100,10,20,5,1571,1471,1472,0.028318771,110,0.001763886,1472,0.024005445
galaxy_a100_b10_c30_v1.col,100,10,30,1,2041,1941,1942,0.048326466,110,0.002698696,1942,0.042093447
galaxy_a100_b10_c30_v2.col,100,10,30,2,2092,1992,1993,0.050660172,110,0.002934437,1993,0.045121204
galaxy_a100_b10_c30_v3.col,100,10,30,3,2188,2088,2089,0.055830707,110,0.003113741,2089,0.049301504
galaxy_a100_b10_c30_v4.col,100,10,30,4,2001,1901,1902,0.046574788,110,0.002628483,1902,0.040289368
galaxy_a100_b10_c30_v5.col,100,10,30,5,1985,1885,1886,0.045562391,110,0.002645918,1886,0.039954584
galaxy_a100_b10_c40_v1.col,100,10,40,1,2631,2531,2532,0.083665072,110,0.004226729,2532,0.074356084
galaxy_a100_b10_c40_v2.col,100,10,40,2,2674,2574,2575,0.086542604,110,0.004442335,2575,0.076554867
galaxy_a100_b10_c40_v3.col,100,10,40,3,2496,2396,2397,0.074389029,110,0.003968764,2397,0.06564859
galaxy_a100_b10_c40_v4.col,100,10,40,4,2400,2300,2301,0.068160381,110,0.003550931,2301,0.059424283
galaxy_a100_b10_c40_v5.col,100,10,40,5,2555,2455,2456,0.078957958,110,0.004050573,2456,0.06964612
galaxy_a100_b10_c50_v1.col,100,10,50,1,2995,2895,2896,0.111011844,110,0.005431434,2896,0.099952419
galaxy_a100_b10_c50_v2.col,100,10,50,2,3021,2921,2922,0.112174569,110,0.005350329,2922,0.100334757
galaxy_a100_b10_c50_v3.col,100,10,50,3,3012,2912,2913,0.112532289,110,0.00556637,2913,0.100796785
galaxy_a100_b10_c50_v4.col,100,10,50,4,3256,3156,3157,0.131171069,110,0.00616413,3157,0.11890727
galaxy_a100_b10_c50_v5.col,100,10,50,5,3075,2975,2976,0.116461849,110,0.005758001,2976,0.105280115
galaxy_a100_b10_c60_v1.col,100,10,60,1,3448,3348,3349,0.146160067,110,0.006809576,3349,0.13209947
galaxy_a100_b10_c60_v2.col,100,10,60,2,3563,3463,3464,0.157515325,110,0.007249096,3464,0.143388428
galaxy_a100_b10_c60_v3.col,100,10,60,3,3582,3482,3483,0.159400908,110,0.007527362,3483,0.145178423
galaxy_a100_b10_c60_v4.col,100,10,60,4,3518,3418,3419,0.153042579,110,0.007245105,3419,0.139671774
galaxy_a100_b10_c60_v5.col,100,10,60,5,3714,3614,3615,0.172208425,110,0.008058073,3615,0.157228255
galaxy_a100_b10_c70_v1.col,100,10,70,1,3990,3890,3891,0.197876701,110,0.008948142,3891,0.17961604
galaxy_a100_b10_c70_v2.col,100,10,70,2,4165,4065,4066,0.21459509,112,0.010264705,4066,0.200323049
galaxy_a100_b10_c70_v3.col,100,10,70,3,4326,4226,4227,0.231836008,110,0.011077473,4227,0.212181581
