instancia,a,b,c,v,N,M,melhor_chi,tempo_melhor,heuristica_vencedora
galaxy_a20_b10_c100_v1.col,20,10,100,1,1027,1007,95,0.089260226,MinGrau
galaxy_a20_b10_c100_v2.col,20,10,100,2,1192,1172,94,0.128231677,MinGrau
galaxy_a20_b10_c100_v3.col,20,10,100,3,1059,1039,99,0.108124983,MinGrau
galaxy_a20_b10_c100_v4.col,20,10,100,4,1104,1084,94,0.11640776,MinGrau
galaxy_a20_b10_c100_v5.col,20,10,100,5,1189,1169,99,0.145846695,MinGrau
galaxy_a20_b10_c20_v1.col,20,10,20,1,289,269,30,0.002581804,MinGrau
galaxy_a20_b10_c20_v2.col,20,10,20,2,327,307,31,0.004432192,MinGrau
galaxy_a20_b10_c20_v3.col,20,10,20,3,318,298,30,0.002991295,MinGrau
galaxy_a20_b10_c20_v4.col,20,10,20,4,309,289,30,0.002976094,MinGrau
galaxy_a20_b10_c20_v5.col,20,10,20,5,318,298,30,0.003138894,MinGrau
galaxy_a20_b10_c30_v1.col,20,10,30,1,391,371,31,0.00519249,MinGrau
galaxy_a20_b10_c30_v2.col,20,10,30,2,448,428,33,0.008472984,MinGrau
galaxy_a20_b10_c30_v3.col,20,10,30,3,433,413,33,0.006564187,MinGrau
galaxy_a20_b10_c30_v4.col,20,10,30,4,429,409,32,0.009105883,MinGrau
galaxy_a20_b10_c30_v5.col,20,10,30,5,427,407,34,0.006886787,MinGrau
galaxy_a20_b10_c40_v1.col,20,10,40,1,595,575,43,0.015565569,MinGrau
galaxy_a20_b10_c40_v2.col,20,10,40,2,580,560,43,0.016596466,MinGrau
galaxy_a20_b10_c40_v3.col,20,10,40,3,503,483,42,0.010737178,MinGrau
galaxy_a20_b10_c40_v4.col,20,10,40,4,483,463,41,0.011822875,MinGrau
galaxy_a20_b10_c40_v5.col,20,10,40,5,545,525,41,0.012323142,MinGrau
galaxy_a20_b10_c50_v1.col,20,10,50,1,621,601,49,0.022898978,MinGrau
galaxy_a20_b10_c50_v2.col,20,10,50,2,674,654,51,0.02407648,MinGrau
galaxy_a20_b10_c50_v3.col,20,10,50,3,710,690,52,0.027408947,MinGrau
galaxy_a20_b10_c50_v4.col,20,10,50,4,589,569,51,0.016589967,MinGrau
galaxy_a20_b10_c50_v5.col,20,10,50,5,643,623,52,0.02418675,MinGrau
galaxy_a20_b10_c60_v1.col,20,10,60,1,845,825,59,0.048869894,MinGrau
galaxy_a20_b10_c60_v2.col,20,10,60,2,688,668,58,0.027607573,MinGrau
galaxy_a20_b10_c60_v3.col,20,10,60,3,755,735,61,0.039852027,MinGrau
galaxy_a20_b10_c60_v4.col,20,10,60,4,743,723,58,0.033527737,MinGrau
galaxy_a20_b10_c60_v5.col,20,10,60,5,678,658,60,0.027150445,MinGrau
galaxy_a20_b10_c70_v1.col,20,10,70,1,863,843,71,0.054917059,MinGrau
