b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,50,0.04172,0.0004,286,276,4,48.0,10,galaxy_a10_b10_c50_v4.col,0.0
10,50,0.04776,0.0005,320,310,5,51.0,10,galaxy_a10_b10_c50_v5.col,0.0
10,60,0.05684,0.0005,360,350,1,61.0,10,galaxy_a10_b10_c60_v1.col,0.0
10,60,0.03749,0.0005,261,251,2,51.0,10,galaxy_a10_b10_c60_v2.col,0.0
10,60,0.03631,0.0006,259,249,3,53.0,10,galaxy_a10_b10_c60_v3.col,0.0
10,60,0.06429,0.0004,402,392,4,59.0,10,galaxy_a10_b10_c60_v4.col,0.0
10,60,0.05291,0.0004,341,331,5,59.0,10,galaxy_a10_b10_c60_v5.col,0.0
10,70,0.07887,0.0005,458,448,1,61.8,10,galaxy_a10_b10_c70_v1.col,0.2
10,70,0.08724,0.0007,492,482,2,65.0,10,galaxy_a10_b10_c70_v2.col,0.0
10,70,0.0784,0.0008,447,437,3,72.0,10,galaxy_a10_b10_c70_v3.col,0.0
10,70,0.07341,0.0001,430,420,4,69.0,10,galaxy_a10_b10_c70_v4.col,0.0
10,70,0.07897,0.0004,456,446,5,69.0,10,galaxy_a10_b10_c70_v5.col,0.0
10,80,0.08422,0.0009,469,459,1,77.0,10,galaxy_a10_b10_c80_v1.col,0.0
10,80,0.09657,0.0001,519,509,2,79.0,10,galaxy_a10_b10_c80_v2.col,0.0
10,80,0.11532,0.0005,575,565,3,82.0,10,galaxy_a10_b10_c80_v3.col,0.0
10,80,0.07566,0.0002,435,425,4,75.0,10,galaxy_a10_b10_c80_v4.col,0.0
10,80,0.07243,0.0001,424,414,5,77.0,10,galaxy_a10_b10_c80_v5.col,0.0
10,90,0.10845,0.0003,550,540,1,90.0,10,galaxy_a10_b10_c90_v1.col,0.0
10,90,0.12857,0.0006,618,608,2,85.0,10,galaxy_a10_b10_c90_v2.col,0.0
10,90,0.0746,0.0005,438,428,3,71.0,10,galaxy_a10_b10_c90_v3.col,0.0
10,90,0.0879,0.0009,475,465,4,89.0,10,galaxy_a10_b10_c90_v4.col,0.0
