instancia,a,b,c,v,N,M,chi_sat,tempo_sat,chi_min,tempo_min,chi_max,tempo_max
galaxy_a15_b10_c40_v1.col,15,10,40,1,423,408,408,0.160224698,40,0.00838559,409,0.148100621
galaxy_a15_b10_c40_v2.col,15,10,40,2,435,420,420,0.171462779,41,0.009192288,421,0.164542288
galaxy_a15_b10_c40_v3.col,15,10,40,3,358,343,343,0.096594976,41,0.004919393,344,0.085551189
galaxy_a15_b10_c40_v4.col,15,10,40,4,341,326,326,0.079820997,38,0.004607894,327,0.076510901
galaxy_a15_b10_c40_v5.col,15,10,40,5,360,345,345,0.097081274,39,0.005493193,346,0.090312183
galaxy_a15_b10_c50_v1.col,15,10,50,1,461,446,446,0.202848024,48,0.012401883,447,0.193295636
galaxy_a15_b10_c50_v2.col,15,10,50,2,465,450,450,0.202237725,50,0.010826485,451,0.193683035
galaxy_a15_b10_c50_v3.col,15,10,50,3,546,531,531,0.359698583,51,0.018491773,532,0.393388047
galaxy_a15_b10_c50_v4.col,15,10,50,4,372,357,357,0.105269149,49,0.005386792,358,0.098841357
galaxy_a15_b10_c50_v5.col,15,10,50,5,497,482,482,0.256471412,51,0.012365382,483,0.241542949
galaxy_a15_b10_c60_v1.col,15,10,60,1,599,584,584,0.448294907,59,0.023397065,585,0.40970128
galaxy_a15_b10_c60_v2.col,15,10,60,2,580,565,565,0.398356667,61,0.019930868,566,0.385403388
galaxy_a15_b10_c60_v3.col,15,10,60,3,510,495,495,0.26501036,60,0.014026877,496,0.252337881
galaxy_a15_b10_c60_v4.col,15,10,60,4,509,494,494,0.272913839,56,0.013521978,495,0.256869073
galaxy_a15_b10_c60_v5.col,15,10,60,5,537,522,522,0.315294201,60,0.016010972,523,0.300432779
galaxy_a15_b10_c70_v1.col,15,10,70,1,487,472,472,0.270201285,67,0.017682674,473,0.216056082
galaxy_a15_b10_c70_v2.col,15,10,70,2,547,532,532,0.358811346,62,0.018673871,533,0.334423683
galaxy_a15_b10_c70_v3.col,15,10,70,3,590,575,575,0.417735424,59,0.020777466,576,0.42010582
galaxy_a15_b10_c70_v4.col,15,10,70,4,674,659,659,0.640474299,71,0.035090841,660,0.605313779
galaxy_a15_b10_c70_v5.col,15,10,70,5,712,697,697,0.76673749,70,0.038607432,698,0.714688738
galaxy_a15_b10_c80_v1.col,15,10,80,1,551,536,536,0.343692343,74,0.018373765,537,0.334377778
galaxy_a15_b10_c80_v2.col,15,10,80,2,694,679,679,0.679366951,76,0.038063924,680,0.640902467
galaxy_a15_b10_c80_v3.col,15,10,80,3,589,574,574,0.405784969,80,0.025928747,575,0.395091699
galaxy_a15_b10_c80_v4.col,15,10,80,4,657,642,642,0.577323409,78,0.032052607,643,0.545467328
galaxy_a15_b10_c80_v5.col,15,10,80,5,832,817,817,1.413472403,81,0.086529604,818,1.485293064
galaxy_a15_b10_c90_v1.col,15,10,90,1,705,690,690,0.70767541,85,0.040488596,691,0.691749844
galaxy_a15_b10_c90_v2.col,15,10,90,2,820,805,805,1.133251202,89,0.062896941,806,1.089850927
galaxy_a15_b10_c90_v3.col,15,10,90,3,782,767,767,0.967284051,83,0.050868074,768,0.913994841
galaxy_a15_b10_c90_v4.col,15,10,90,4,711,696,696,0.724790491,91,0.041808831,697,0.683868196
galaxy_a15_b10_c90_v5.col,15,10,90,5,666,651,651,0.65169945,91,0.037754834,652,0.607922747
galaxy_a20_b10_c100_v1.col,20,10,100,1,1027,1007,1007,2.237497776,95,0.089260226,1008,2.28869981
galaxy_a20_b10_c100_v2.col,20,10,100,2,1192,1172,1172,3.545073763,94,0.128231677,1173,3.248987089
galaxy_a20_b10_c100_v3.col,20,10,100,3,1059,1039,1039,2.474790414,99,0.108124983,1040,2.407380043
galaxy_a20_b10_c100_v4.col,20,10,100,4,1104,1084,1084,2.884216167,94,0.11640776,1085,3.130552832
galaxy_a20_b10_c100_v5.col,20,10,100,5,1189,1169,1169,3.624469565,99,0.145846695,1170,3.633271366
galaxy_a20_b10_c20_v1.col,20,10,20,1,289,269,269,0.044961544,30,0.002581804,270,0.04165647
galaxy_a20_b10_c20_v2.col,20,10,20,2,327,307,307,0.070866071,31,0.004432192,308,0.066017583
galaxy_a20_b10_c20_v3.col,20,10,20,3,318,298,298,0.062596685,30,0.002991295,299,0.05992939
galaxy_a20_b10_c20_v4.col,20,10,20,4,309,289,289,0.062552985,30,0.002976094,290,0.053267102
galaxy_a20_b10_c20_v5.col,20,10,20,5,318,298,298,0.064903981,30,0.003138894,299,0.060230189
galaxy_a20_b10_c30_v1.col,20,10,30,1,391,371,371,0.125252169,31,0.00519249,372,0.109398999
galaxy_a20_b10_c30_v2.col,20,10,30,2,448,428,428,0.194682736,33,0.008472984,429,0.195316341
galaxy_a20_b10_c30_v3.col,20,10,30,3,433,413,413,0.166619782,33,0.006564187,414,0.150674812
galaxy_a20_b10_c30_v4.col,20,10,30,4,429,409,409,0.157177,32,0.009105883,410,0.145785622
galaxy_a20_b10_c30_v5.col,20,10,30,5,427,407,407,0.162547688,34,0.006886787,408,0.142890828
galaxy_a20_b10_c40_v1.col,20,10,40,1,595,575,575,0.42553876,43,0.015565569,576,0.411355688
galaxy_a20_b10_c40_v2.col,20,10,40,2,580,560,560,0.405528072,43,0.016596466,561,0.384848922
galaxy_a20_b10_c40_v3.col,20,10,40,3,503,483,483,0.255821663,42,0.010737178,484,0.246297597
galaxy_a20_b10_c40_v4.col,20,10,40,4,483,463,463,0.229935622,41,0.011822875,464,0.21366375
galaxy_a20_b10_c40_v5.col,20,10,40,5,545,525,525,0.328466324,41,0.012323142,526,0.313270492
galaxy_a20_b10_c50_v1.col,20,10,50,1,621,601,601,0.48548554,49,0.022898978,602,0.453888353
galaxy_a20_b10_c50_v2.col,20,10,50,2,674,654,654,0.851368505,51,0.02407648,655,0.584115259
galaxy_a20_b10_c50_v3.col,20,10,50,3,710,690,690,0.722185303,52,0.027408947,691,0.711571367
galaxy_a20_b10_c50_v4.col,20,10,50,4,589,569,569,0.440789322,51,0.016589967,570,0.396697916
galaxy_a20_b10_c50_v5.col,20,10,50,5,643,623,623,0.568830517,52,0.02418675,624,0.617805737
galaxy_a20_b10_c60_v1.col,20,10,60,1,845,825,825,1.235424173,59,0.048869894,826,1.182286872
galaxy_a20_b10_c60_v2.col,20,10,60,2,688,668,668,0.667395962,58,0.027607573,669,0.649011535
galaxy_a20_b10_c60_v3.col,20,10,60,3,755,735,735,0.872401603,61,0.039852027,736,0.835700707
galaxy_a20_b10_c60_v4.col,20,10,60,4,743,723,723,0.829767388,58,0.033527737,724,0.797111493
galaxy_a20_b10_c60_v5.col,20,10,60,5,678,658,658,0.62773283,60,0.027150445,659,0.581500047
galaxy_a20_b10_c70_v1.col,20,10,70,1,863,843,843,1.318347587,71,0.054917059,844,1.324255679
galaxy_a20_b10_c70_v2.col,20,10,70,2,624,604,604,0.49398177,55,0.022227762,605,0.465715219
galaxy_a20_b10_c70_v3.col,20,10,70,3,825,805,805,1.140599726,66,0.049317108,806,1.087891454
galaxy_a20_b10_c70_v4.col,20,10,70,4,818,798,798,1.150810834,64,0.043618413,799,1.089195348
galaxy_a20_b10_c70_v5.col,20,10,70,5,819,799,799,1.692852618,63,0.056480461,800,1.477871313
galaxy_a20_b10_c80_v1.col,20,10,80,1,923,903,903,1.814567715,78,0.072507071,904,1.674812446
galaxy_a20_b10_c80_v2.col,20,10,80,2,918,898,898,1.649658319,78,0.075263492,899,1.622525875
galaxy_a20_b10_c80_v3.col,20,10,80,3,1028,1008,1008,2.364333584,78,0.087760858,1009,2.214047784
galaxy_a20_b10_c80_v4.col,20,10,80,4,867,847,847,1.522206264,81,0.064334666,848,1.295815602
galaxy_a20_b10_c80_v5.col,20,10,80,5,999,979,979,2.34034549,75,0.09521404,980,2.207516118
galaxy_a20_b10_c90_v1.col,20,10,90,1,1013,993,993,2.362664563,86,0.093386117,994,2.182894534
galaxy_a20_b10_c90_v2.col,20,10,90,2,1017,997,997,2.196538291,91,0.084823549,998,2.149615368
galaxy_a20_b10_c90_v3.col,20,10,90,3,841,821,821,1.204644012,87,0.066028856,822,1.176690724
galaxy_a20_b10_c90_v4.col,20,10,90,4,1028,1008,1008,2.326726256,85,0.090219045,1009,2.245147194
galaxy_a20_b10_c90_v5.col,20,10,90,5,1063,1043,1043,2.526337052,88,0.098932068,1044,2.438359042
