mean_fit_t,b,c,mean_upd_t,mean_init_t,se_init_t,mean_mut_t,se_fit_t,se_mut_t,se_upd_t,N,M,v,mean_sel_t,a,se_cross_t,se_sel_t,mean_cross_t,instancia
5.20868,10,80,0.0,0.0,0.0,0.0,0.1182,0.0,0.0,4537,4437,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c80_v5.col
6.57529,10,90,0.0,0.0,0.0,0.0,0.1398,0.0,0.0,5110,5010,1,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v1.col
7.25681,10,90,0.0,0.0,0.0,0.0,0.1055,0.0,0.0,5347,5247,2,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v2.col
7.75594,10,90,0.0,0.0,0.0,0.0,0.195,0.0,0.0,5523,5423,3,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v3.col
7.05221,10,90,0.0,0.0,0.0,0.0,0.152,0.0,0.0,5349,5249,4,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v4.col
7.13952,10,90,0.0,0.0,0.0,0.0,0.123,0.0,0.0,5416,5316,5,0.0,100,0.0,0.0,0.0,galaxy_a100_b10_c90_v5.col
0.15965,10,100,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,510,500,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v1.col
0.34479,10,100,0.0,0.0,0.0,0.0,0.1095,0.0,0.0,650,640,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v2.col
0.19715,10,100,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,600,590,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v3.col
0.26226,10,100,0.0,0.0,0.0,0.0,0.0181,0.0,0.0,601,591,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v4.col
0.17657,10,100,0.0,0.0,0.0,0.0,0.017,0.0,0.0,545,535,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c100_v5.col
0.04403,10,20,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,164,154,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v1.col
0.03038,10,20,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,159,149,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v2.col
0.04196,10,20,0.0,0.0,0.0,0.0,0.0061,0.0,0.0,160,150,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v3.col
0.0329,10,20,0.0,0.0,0.0,0.0,0.0059,0.0,0.0,147,137,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v4.col
0.03205,10,20,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,167,157,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c20_v5.col
0.05228,10,30,0.0,0.0,0.0,0.0,0.0068,0.0,0.0,218,208,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v1.col
0.04327,10,30,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,222,212,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v2.col
0.04549,10,30,0.0,0.0,0.0,0.0,0.0058,0.0,0.0,208,198,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v3.col
0.04139,10,30,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,196,186,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v4.col
0.04204,10,30,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,212,202,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c30_v5.col
0.0496,10,40,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,245,235,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v1.col
0.05789,10,40,0.0,0.0,0.0,0.0,0.0057,0.0,0.0,246,236,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v2.col
0.08566,10,40,0.0,0.0,0.0,0.0,0.0126,0.0,0.0,279,269,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v3.col
0.06684,10,40,0.0,0.0,0.0,0.0,0.012,0.0,0.0,259,249,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v4.col
0.06495,10,40,0.0,0.0,0.0,0.0,0.0046,0.0,0.0,262,252,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c40_v5.col
0.10345,10,50,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,337,327,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v1.col
0.09721,10,50,0.0,0.0,0.0,0.0,0.008,0.0,0.0,376,366,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v2.col
0.10783,10,50,0.0,0.0,0.0,0.0,0.0124,0.0,0.0,351,341,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v3.col
0.071,10,50,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,286,276,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v4.col
0.07484,10,50,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,320,310,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c50_v5.col
0.09198,10,60,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,360,350,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c60_v1.col
0.05994,10,60,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,261,251,2,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c60_v2.col
0.08976,10,60,0.0,0.0,0.0,0.0,0.0111,0.0,0.0,259,249,3,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c60_v3.col
0.10649,10,60,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,402,392,4,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c60_v4.col
0.0826,10,60,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,341,331,5,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c60_v5.col
0.16173,10,70,0.0,0.0,0.0,0.0,0.0228,0.0,0.0,458,448,1,0.0,10,0.0,0.0,0.0,galaxy_a10_b10_c70_v1.col
