b,c,mean_time,se_time,N,M,v,mean_chi,a,instancia,se_chi
10,30,0.0537,0.007,218,208,1,29.0,10,galaxy_a10_b10_c30_v1.col,0.0
10,30,0.04513,0.0008,222,212,2,31.2,10,galaxy_a10_b10_c30_v2.col,0.2
10,30,0.04677,0.0057,208,198,3,27.4,10,galaxy_a10_b10_c30_v3.col,0.2449
10,30,0.04213,0.0038,196,186,4,28.2,10,galaxy_a10_b10_c30_v4.col,0.2
10,30,0.04286,0.0008,212,202,5,31.0,10,galaxy_a10_b10_c30_v5.col,0.0
10,40,0.05155,0.0009,245,235,1,37.0,10,galaxy_a10_b10_c40_v1.col,0.0
10,40,0.05934,0.0055,246,236,2,39.0,10,galaxy_a10_b10_c40_v2.col,0.0
10,40,0.08936,0.0126,279,269,3,41.0,10,galaxy_a10_b10_c40_v3.col,0.0
10,40,0.06817,0.0121,259,249,4,38.0,10,galaxy_a10_b10_c40_v4.col,0.0
10,40,0.06638,0.0046,262,252,5,41.0,10,galaxy_a10_b10_c40_v5.col,0.0
10,50,0.10634,0.0122,337,327,1,51.0,10,galaxy_a10_b10_c50_v1.col,0.0
10,50,0.09876,0.008,376,366,2,50.0,10,galaxy_a10_b10_c50_v2.col,0.0
10,50,0.11204,0.0133,351,341,3,49.2,10,galaxy_a10_b10_c50_v3.col,0.2
10,50,0.07235,0.0074,286,276,4,48.0,10,galaxy_a10_b10_c50_v4.col,0.0
10,50,0.07688,0.001,320,310,5,51.0,10,galaxy_a10_b10_c50_v5.col,0.0
10,60,0.09416,0.0071,360,350,1,61.0,10,galaxy_a10_b10_c60_v1.col,0.0
10,60,0.06126,0.0036,261,251,2,51.0,10,galaxy_a10_b10_c60_v2.col,0.0
10,60,0.09225,0.0104,259,249,3,53.0,10,galaxy_a10_b10_c60_v3.col,0.0
10,60,0.10839,0.0023,402,392,4,59.0,10,galaxy_a10_b10_c60_v4.col,0.0
10,60,0.08486,0.0008,341,331,5,59.0,10,galaxy_a10_b10_c60_v5.col,0.0
10,70,0.16408,0.0233,458,448,1,61.6,10,galaxy_a10_b10_c70_v1.col,0.2449
10,70,0.14563,0.0014,492,482,2,65.0,10,galaxy_a10_b10_c70_v2.col,0.0
