b,chi_sat,p,tempo_max,chi_max,chi_min,N,M,v,a,tempo_sat,instancia,tempo_min
500,585,10,30.3419,507,567,1000,25253,1,500,40.4819,bi_a500_b500_p10%_v1.col,33.2531
500,575,10,28.8361,502,565,1000,24872,2,500,38.6233,bi_a500_b500_p10%_v2.col,33.5941
500,576,10,29.3196,504,565,1000,25214,3,500,39.0441,bi_a500_b500_p10%_v3.col,33.6218
500,586,10,30.3585,504,567,1000,25129,4,500,40.6039,bi_a500_b500_p10%_v4.col,33.7561
500,574,10,30.3514,507,558,1000,24870,5,500,38.7168,bi_a500_b500_p10%_v5.col,33.6308
500,824,20,148.4736,824,809,1000,50042,1,500,155.5991,bi_a500_b500_p20%_v1.col,132.7154
500,824,20,150.9948,834,807,1000,50009,2,500,158.4252,bi_a500_b500_p20%_v2.col,132.4832
500,821,20,149.4827,822,803,1000,49881,3,500,155.3555,bi_a500_b500_p20%_v3.col,130.1791
500,825,20,151.7158,827,807,1000,50029,4,500,161.4784,bi_a500_b500_p20%_v4.col,133.5793
500,826,20,150.4994,829,805,1000,50011,5,500,154.632,bi_a500_b500_p20%_v5.col,130.24
500,917,30,295.723,916,898,1000,75280,1,500,308.878,bi_a500_b500_p30%_v1.col,277.9945
500,917,30,296.1964,917,899,1000,75133,2,500,308.0213,bi_a500_b500_p30%_v2.col,281.0424
500,912,30,295.4563,913,900,1000,75090,3,500,307.059,bi_a500_b500_p30%_v3.col,280.6557
500,916,30,302.5515,922,900,1000,75347,4,500,306.0467,bi_a500_b500_p30%_v4.col,281.5891
500,916,30,293.9552,917,897,1000,75084,5,500,308.6368,bi_a500_b500_p30%_v5.col,280.9791
500,953,40,432.471,955,939,1000,100391,1,500,448.7849,bi_a500_b500_p40%_v1.col,429.5338
500,950,40,431.2645,954,941,1000,100075,2,500,439.5406,bi_a500_b500_p40%_v2.col,426.6191
500,952,40,429.9917,953,940,1000,100085,3,500,442.8049,bi_a500_b500_p40%_v3.col,423.2385
500,954,40,425.0423,953,939,1000,100045,4,500,441.2344,bi_a500_b500_p40%_v4.col,418.2571
500,953,40,423.4963,948,941,1000,100122,5,500,446.7597,bi_a500_b500_p40%_v5.col,423.5235
500,968,50,538.1282,973,964,1000,124819,1,500,558.365,bi_a500_b500_p50%_v1.col,541.4285
500,971,50,541.698,971,963,1000,125009,2,500,559.4709,bi_a500_b500_p50%_v2.col,538.3244
500,969,50,533.1849,968,963,1000,124539,3,500,557.7024,bi_a500_b500_p50%_v3.col,542.4198
500,970,50,543.9663,971,963,1000,124813,4,500,562.613,bi_a500_b500_p50%_v4.col,536.4295
500,968,50,535.3213,970,963,1000,124972,5,500,558.9125,bi_a500_b500_p50%_v5.col,538.8839
500,981,60,599.939,978,972,1000,149899,1,500,629.3544,bi_a500_b500_p60%_v1.col,603.8806
500,979,60,603.0362,981,974,1000,149722,2,500,624.9461,bi_a500_b500_p60%_v2.col,605.235
500,979,60,599.8938,980,975,1000,150125,3,500,627.3074,bi_a500_b500_p60%_v3.col,605.0279
500,980,60,595.9064,979,973,1000,150210,4,500,632.3472,bi_a500_b500_p60%_v4.col,605.2242
500,981,60,600.4397,980,973,1000,150122,5,500,638.2262,bi_a500_b500_p60%_v5.col,600.9018
500,986,70,622.9858,985,984,1000,175289,1,500,657.5225,bi_a500_b500_p70%_v1.col,650.3339
500,986,70,634.0172,987,983,1000,174970,2,500,659.7194,bi_a500_b500_p70%_v2.col,637.617
500,988,70,639.5092,986,982,1000,174869,3,500,663.495,bi_a500_b500_p70%_v3.col,635.9333
500,984,70,638.04,986,983,1000,175027,4,500,659.5308,bi_a500_b500_p70%_v4.col,635.6011
500,988,70,626.3946,986,984,1000,174595,5,500,659.5793,bi_a500_b500_p70%_v5.col,643.1738
500,991,80,642.8517,992,988,1000,199919,1,500,669.0675,bi_a500_b500_p80%_v1.col,648.4837
500,991,80,647.3195,991,989,1000,200277,2,500,665.8013,bi_a500_b500_p80%_v2.col,648.3126
500,991,80,631.5265,990,988,1000,199860,3,500,664.3949,bi_a500_b500_p80%_v3.col,658.1042
500,991,80,656.0259,991,988,1000,200229,4,500,669.4253,bi_a500_b500_p80%_v4.col,644.3703
500,990,80,638.903,992,989,1000,200061,5,500,674.9201,bi_a500_b500_p80%_v5.col,666.438
500,994,90,663.8334,994,993,1000,224990,1,500,660.0688,bi_a500_b500_p90%_v1.col,636.0251
500,995,90,640.2735,995,992,1000,225217,2,500,657.1071,bi_a500_b500_p90%_v2.col,646.7656
500,994,90,643.0394,994,993,1000,225175,3,500,658.4101,bi_a500_b500_p90%_v3.col,651.9509
500,994,90,647.8978,994,993,1000,224958,4,500,661.731,bi_a500_b500_p90%_v4.col,657.7656
500,995,90,652.0167,995,993,1000,225220,5,500,663.1387,bi_a500_b500_p90%_v5.col,655.5808
1000,417,1,16.2857,369,391,1500,4951,1,500,17.5829,bi_a500_b1000_p01%_v1.col,17.6793
1000,396,1,15.7763,347,383,1500,4920,2,500,17.7487,bi_a500_b1000_p01%_v2.col,17.4563
1000,392,1,16.2066,362,377,1500,5038,3,500,17.7279,bi_a500_b1000_p01%_v3.col,16.6582
1000,421,1,15.4146,363,387,1500,4995,4,500,18.1188,bi_a500_b1000_p01%_v4.col,17.6602
1000,397,1,15.609,367,383,1500,5010,5,500,18.128,bi_a500_b1000_p01%_v5.col,16.986
1000,447,3,46.0451,447,513,1500,14962,1,500,45.2693,bi_a500_b1000_p03%_v1.col,52.3942
1000,444,3,44.7153,436,508,1500,14877,2,500,45.7487,bi_a500_b1000_p03%_v2.col,49.8683
