a,b,N,p,M,v,tempo_melhor,heuristica_vencedora,melhor_chi,instancia
100,10000,10100,3,29800,3,0.1127,MaxGrau,401,bi_a100_b10000_p03%_v3.col
100,10000,10100,3,29991,4,0.1127,MinGrau,483,bi_a100_b10000_p03%_v4.col
100,10000,10100,3,30217,5,0.1153,MaxGrau,391,bi_a100_b10000_p03%_v5.col
100,10000,10100,5,50380,1,0.203,MaxGrau,621,bi_a100_b10000_p05%_v1.col
100,10000,10100,5,49616,2,0.2054,MaxGrau,609,bi_a100_b10000_p05%_v2.col
100,10000,10100,5,50185,3,0.1982,MaxGrau,617,bi_a100_b10000_p05%_v3.col
100,10000,10100,5,50374,4,0.2061,MaxGrau,617,bi_a100_b10000_p05%_v4.col
100,10000,10100,5,50004,5,0.1975,MaxGrau,619,bi_a100_b10000_p05%_v5.col
100,10000,10100,10,99955,1,0.5821,MaxGrau,1515,bi_a100_b10000_p10%_v1.col
100,10000,10100,10,99870,2,0.5802,MaxGrau,1505,bi_a100_b10000_p10%_v2.col
100,10000,10100,10,99782,3,0.5806,MaxGrau,1511,bi_a100_b10000_p10%_v3.col
100,10000,10100,10,100089,4,0.5839,MaxGrau,1514,bi_a100_b10000_p10%_v4.col
100,10000,10100,10,100253,5,0.5851,MaxGrau,1519,bi_a100_b10000_p10%_v5.col
100,10000,10100,20,199049,1,2.3906,MaxGrau,4301,bi_a100_b10000_p20%_v1.col
100,10000,10100,20,200004,2,2.0823,MaxGrau,4333,bi_a100_b10000_p20%_v2.col
100,10000,10100,20,199824,3,2.4372,MaxGrau,4324,bi_a100_b10000_p20%_v3.col
100,10000,10100,20,200075,4,2.0897,MaxGrau,4324,bi_a100_b10000_p20%_v4.col
100,10000,10100,20,200448,5,2.1491,MaxGrau,4346,bi_a100_b10000_p20%_v5.col
100,10000,10100,30,299790,1,4.5026,MaxGrau,8961,bi_a100_b10000_p30%_v1.col
100,10000,10100,30,299975,2,4.4602,MaxGrau,8983,bi_a100_b10000_p30%_v2.col
100,10000,10100,30,299310,3,4.4737,MaxGrau,8965,bi_a100_b10000_p30%_v3.col
100,10000,10100,30,299861,4,4.5015,MaxGrau,9003,bi_a100_b10000_p30%_v4.col
100,10000,10100,30,300518,5,4.5096,MaxGrau,9012,bi_a100_b10000_p30%_v5.col
100,10000,10100,40,399757,1,10.4233,MinGrau,10029,bi_a100_b10000_p40%_v1.col
100,10000,10100,40,399950,2,9.75,MinGrau,10030,bi_a100_b10000_p40%_v2.col
100,10000,10100,40,398691,3,11.0465,MinGrau,10030,bi_a100_b10000_p40%_v3.col
100,10000,10100,40,399889,4,9.1504,MinGrau,10027,bi_a100_b10000_p40%_v4.col
100,10000,10100,40,400118,5,10.0167,MinGrau,10032,bi_a100_b10000_p40%_v5.col
100,10000,10100,50,500473,1,16.6615,MinGrau,10058,bi_a100_b10000_p50%_v1.col
100,10000,10100,50,498944,2,18.0553,MinGrau,10054,bi_a100_b10000_p50%_v2.col
100,10000,10100,50,499887,3,14.8278,MinGrau,10054,bi_a100_b10000_p50%_v3.col
100,10000,10100,50,500513,4,19.5828,MinGrau,10056,bi_a100_b10000_p50%_v4.col
100,10000,10100,50,499011,5,14.194,MinGrau,10055,bi_a100_b10000_p50%_v5.col
100,10000,10100,60,599271,1,29.3122,MinGrau,10071,bi_a100_b10000_p60%_v1.col
100,10000,10100,60,600186,2,26.4108,MinGrau,10071,bi_a100_b10000_p60%_v2.col
100,10000,10100,60,600279,3,23.7578,MinGrau,10070,bi_a100_b10000_p60%_v3.col
100,10000,10100,60,598909,4,24.8099,MinGrau,10072,bi_a100_b10000_p60%_v4.col
100,10000,10100,60,600272,5,20.5399,MinGrau,10071,bi_a100_b10000_p60%_v5.col
100,10000,10100,70,699602,1,36.1615,MinGrau,10081,bi_a100_b10000_p70%_v1.col
100,10000,10100,70,700224,2,33.8403,MinGrau,10081,bi_a100_b10000_p70%_v2.col
100,10000,10100,70,700260,3,28.0442,MinGrau,10081,bi_a100_b10000_p70%_v3.col
100,10000,10100,70,699871,4,32.2706,MinGrau,10081,bi_a100_b10000_p70%_v4.col
100,10000,10100,70,699185,5,32.0927,MinGrau,10082,bi_a100_b10000_p70%_v5.col
100,10000,10100,80,799762,1,30.8718,MinGrau,10087,bi_a100_b10000_p80%_v1.col
100,10000,10100,80,800283,2,30.2792,MinGrau,10087,bi_a100_b10000_p80%_v2.col
100,10000,10100,80,799713,3,33.3963,MinGrau,10087,bi_a100_b10000_p80%_v3.col
100,10000,10100,80,799789,4,32.6076,MinGrau,10088,bi_a100_b10000_p80%_v4.col
100,10000,10100,80,800340,5,34.5715,MinGrau,10088,bi_a100_b10000_p80%_v5.col
100,10000,10100,90,899498,1,43.3481,MinGrau,10093,bi_a100_b10000_p90%_v1.col
100,10000,10100,90,899616,2,40.3992,MinGrau,10092,bi_a100_b10000_p90%_v2.col
100,10000,10100,90,900190,3,39.2341,MinGrau,10093,bi_a100_b10000_p90%_v3.col
