instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a10_b10_c100_v2.col,10,10,100,2,650,640,97.0,0.0,0.58852,0.0177
galaxy_a10_b10_c100_v3.col,10,10,100,3,600,590,98.0,0.0,0.24504,0.0013
galaxy_a10_b10_c100_v4.col,10,10,100,4,601,591,101.0,0.0,0.3106,0.0012
galaxy_a10_b10_c100_v5.col,10,10,100,5,545,535,88.0,0.0,0.3191,0.0018
galaxy_a10_b10_c20_v1.col,10,10,20,1,164,154,22.0,0.0,0.14531,0.0101
galaxy_a10_b10_c20_v2.col,10,10,20,2,159,149,21.0,0.0,0.17618,0.0082
galaxy_a10_b10_c20_v3.col,10,10,20,3,160,150,21.6,0.2449,0.2811,0.094
galaxy_a10_b10_c20_v4.col,10,10,20,4,147,137,21.0,0.0,0.07465,0.0022
galaxy_a10_b10_c20_v5.col,10,10,20,5,167,157,22.6,0.2449,0.35778,0.148
galaxy_a10_b10_c30_v1.col,10,10,30,1,218,208,28.0,0.0,0.30947,0.0884
galaxy_a10_b10_c30_v2.col,10,10,30,2,222,212,31.0,0.0,0.13979,0.0044
galaxy_a10_b10_c30_v3.col,10,10,30,3,208,198,27.0,0.0,0.13703,0.0027
galaxy_a10_b10_c30_v4.col,10,10,30,4,196,186,28.0,0.0,0.11735,0.0025
galaxy_a10_b10_c30_v5.col,10,10,30,5,212,202,31.0,0.0,0.19419,0.0798
galaxy_a10_b10_c40_v1.col,10,10,40,1,245,235,37.0,0.0,0.09578,0.0021
galaxy_a10_b10_c40_v2.col,10,10,40,2,246,236,39.0,0.0,0.1373,0.0061
galaxy_a10_b10_c40_v3.col,10,10,40,3,279,269,41.0,0.0,0.15442,0.0006
galaxy_a10_b10_c40_v4.col,10,10,40,4,259,249,38.0,0.0,0.10559,0.0009
galaxy_a10_b10_c40_v5.col,10,10,40,5,262,252,41.0,0.0,0.10535,0.0068
galaxy_a10_b10_c50_v1.col,10,10,50,1,337,327,51.0,0.0,0.19434,0.0663
galaxy_a10_b10_c50_v2.col,10,10,50,2,376,366,50.0,0.0,0.16867,0.0015
galaxy_a10_b10_c50_v3.col,10,10,50,3,351,341,49.0,0.0,0.31132,0.0101
