instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time,peak_mem_mb,mean_mem_mb
galaxy_a10_b10_c50_v1.col,10,10,50,1,337,327,51.0,0.0,0.13834,0.0013,54.513092041015625,54.4398681640625
galaxy_a10_b10_c60_v1.col,10,10,60,1,360,350,61.0,0.0,0.13951,0.0078,55.03784942626953,53.11412048339844
galaxy_a10_b10_c70_v1.col,10,10,70,1,458,448,61.0,0.0,0.41448,0.0087,43.83710479736328,42.57121276855469
galaxy_a10_b10_c80_v1.col,10,10,80,1,469,459,77.0,0.0,0.2647,0.0008,65.2953872680664,64.86930999755859
galaxy_a10_b10_c90_v1.col,10,10,90,1,550,540,90.0,0.0,0.23021,0.0014,59.06456756591797,58.732034301757814
galaxy_a15_b10_c100_v1.col,15,10,100,1,876,861,94.0,0.0,0.71326,0.0272,91.43820190429688,82.7317398071289
galaxy_a15_b10_c20_v1.col,15,10,20,1,251,236,26.0,0.0,0.39745,0.0754,63.597930908203125,59.4752197265625
galaxy_a15_b10_c30_v1.col,15,10,30,1,305,290,31.0,0.0,0.26909,0.0138,75.39629364013672,49.45529022216797
galaxy_a15_b10_c40_v1.col,15,10,40,1,423,408,40.0,0.0,0.46652,0.0072,62.24934387207031,59.65490875244141
galaxy_a15_b10_c50_v1.col,15,10,50,1,461,446,48.0,0.0,0.37182,0.01,45.93376159667969,42.38043365478516
galaxy_a15_b10_c60_v1.col,15,10,60,1,599,584,59.0,0.0,0.59602,0.0109,80.01502990722656,72.19593963623046
galaxy_a15_b10_c70_v1.col,15,10,70,1,487,472,67.0,0.0,0.30964,0.0008,71.14944458007812,70.8982421875
galaxy_a15_b10_c80_v1.col,15,10,80,1,551,536,74.0,0.0,0.26723,0.0005,65.74983215332031,65.21903533935547
galaxy_a15_b10_c90_v1.col,15,10,90,1,705,690,85.0,0.0,0.39134,0.0161,56.45326232910156,53.59177703857422
galaxy_a20_b10_c100_v1.col,20,10,100,1,1027,1007,95.0,0.0,0.69736,0.0022,67.18204498291016,66.97286834716797
galaxy_a20_b10_c20_v1.col,20,10,20,1,289,269,28.6,0.4,1.89068,0.4442,110.8720703125,95.32925720214844
galaxy_a20_b10_c30_v1.col,20,10,30,1,391,371,30.6,0.2449,1.64366,0.3661,108.0141830444336,94.16100006103515
galaxy_a20_b10_c40_v1.col,20,10,40,1,595,575,42.8,0.2,1.73673,0.5096,130.87499237060547,109.62228851318359
galaxy_a20_b10_c50_v1.col,20,10,50,1,621,601,49.0,0.0,0.89139,0.0297,122.61347961425781,69.64658050537109
galaxy_a20_b10_c60_v1.col,20,10,60,1,845,825,59.0,0.0,1.46326,0.0275,124.63591766357422,102.57540130615234
galaxy_a20_b10_c70_v1.col,20,10,70,1,863,843,71.0,0.0,0.71472,0.0018,90.93064880371094,84.23945007324218
galaxy_a20_b10_c80_v1.col,20,10,80,1,923,903,78.0,0.0,0.94117,0.0274,108.81632232666016,82.914111328125
