instancia,a,b,c,v,N,M,mean_chi,se_chi,mean_time,se_time
galaxy_a100_b10_c80_v1.col,100,10,80,1,4490,4390,126.8,1.1576,12.55889,0.9703
galaxy_a100_b10_c80_v2.col,100,10,80,2,4929,4829,136.8,1.9596,15.70197,1.6265
galaxy_a100_b10_c80_v3.col,100,10,80,3,4785,4685,132.0,1.5811,12.2982,1.3243
galaxy_a100_b10_c80_v4.col,100,10,80,4,4712,4612,133.2,1.5297,12.73629,1.1356
galaxy_a100_b10_c80_v5.col,100,10,80,5,4537,4437,130.4,2.4207,10.53097,1.9129
galaxy_a100_b10_c90_v1.col,100,10,90,1,5110,5010,135.4,2.358,14.96045,1.1604
galaxy_a100_b10_c90_v2.col,100,10,90,2,5347,5247,136.4,1.7776,20.81337,0.9892
galaxy_a100_b10_c90_v3.col,100,10,90,3,5523,5423,139.6,0.6782,17.27946,0.7025
galaxy_a100_b10_c90_v4.col,100,10,90,4,5349,5249,136.4,1.5362,17.66301,2.46
galaxy_a100_b10_c90_v5.col,100,10,90,5,5416,5316,139.0,3.1145,18.2542,2.888
galaxy_a10_b10_c100_v1.col,10,10,100,1,510,500,94.0,0.0,0.08938,0.0005
galaxy_a10_b10_c100_v2.col,10,10,100,2,650,640,97.0,0.0,0.20112,0.012
galaxy_a10_b10_c100_v3.col,10,10,100,3,600,590,98.0,0.0,0.11452,0.0005
galaxy_a10_b10_c100_v4.col,10,10,100,4,601,591,101.0,0.0,0.12634,0.0064
galaxy_a10_b10_c100_v5.col,10,10,100,5,545,535,88.0,0.0,0.12063,0.001
galaxy_a10_b10_c20_v1.col,10,10,20,1,164,154,22.2,0.2,0.03432,0.0034
galaxy_a10_b10_c20_v2.col,10,10,20,2,159,149,22.0,0.0,0.02844,0.0013
galaxy_a10_b10_c20_v3.col,10,10,20,3,160,150,22.0,0.3162,0.10909,0.0656
galaxy_a10_b10_c20_v4.col,10,10,20,4,147,137,21.0,0.0,0.02279,0.0007
galaxy_a10_b10_c20_v5.col,10,10,20,5,167,157,22.8,0.2,0.03704,0.0039
galaxy_a10_b10_c30_v1.col,10,10,30,1,218,208,28.2,0.2,0.05383,0.0044
galaxy_a10_b10_c30_v2.col,10,10,30,2,222,212,31.0,0.0,0.04828,0.0028
galaxy_a10_b10_c30_v3.col,10,10,30,3,208,198,27.0,0.0,0.04409,0.0038
galaxy_a10_b10_c30_v4.col,10,10,30,4,196,186,28.0,0.0,0.03696,0.0008
galaxy_a10_b10_c30_v5.col,10,10,30,5,212,202,31.0,0.0,0.03905,0.0009
galaxy_a10_b10_c40_v1.col,10,10,40,1,245,235,37.0,0.0,0.03611,0.0004
galaxy_a10_b10_c40_v2.col,10,10,40,2,246,236,39.0,0.0,0.04438,0.0012
galaxy_a10_b10_c40_v3.col,10,10,40,3,279,269,41.0,0.0,0.04865,0.0014
galaxy_a10_b10_c40_v4.col,10,10,40,4,259,249,38.0,0.0,0.03898,0.0001
galaxy_a10_b10_c40_v5.col,10,10,40,5,262,252,41.0,0.0,0.03753,0.0016
galaxy_a10_b10_c50_v1.col,10,10,50,1,337,327,51.0,0.0,0.05501,0.0018
galaxy_a10_b10_c50_v2.col,10,10,50,2,376,366,50.0,0.0,0.0679,0.0024
galaxy_a10_b10_c50_v3.col,10,10,50,3,351,341,49.0,0.0,0.09065,0.0061
galaxy_a10_b10_c50_v4.col,10,10,50,4,286,276,48.0,0.0,0.04653,0.0005
galaxy_a10_b10_c50_v5.col,10,10,50,5,320,310,51.0,0.0,0.04336,0.0004
galaxy_a10_b10_c60_v1.col,10,10,60,1,360,350,61.0,0.0,0.05211,0.0002
galaxy_a10_b10_c60_v2.col,10,10,60,2,261,251,51.0,0.0,0.03749,0.0018
galaxy_a10_b10_c60_v3.col,10,10,60,3,259,249,53.0,0.0,0.03375,0.0006
galaxy_a10_b10_c60_v4.col,10,10,60,4,402,392,59.0,0.0,0.06616,0.0031
galaxy_a10_b10_c60_v5.col,10,10,60,5,341,331,59.0,0.0,0.055,0.0027
galaxy_a10_b10_c70_v1.col,10,10,70,1,458,448,61.0,0.0,0.12831,0.0068
galaxy_a10_b10_c70_v2.col,10,10,70,2,492,482,65.0,0.0,0.11359,0.0004
galaxy_a10_b10_c70_v3.col,10,10,70,3,447,437,72.0,0.0,0.09042,0.0031
galaxy_a10_b10_c70_v4.col,10,10,70,4,430,420,69.0,0.0,0.06729,0.0004
galaxy_a10_b10_c70_v5.col,10,10,70,5,456,446,69.0,0.0,0.09848,0.0034
galaxy_a10_b10_c80_v1.col,10,10,80,1,469,459,77.0,0.0,0.09638,0.0026
galaxy_a10_b10_c80_v2.col,10,10,80,2,519,509,79.0,0.0,0.11245,0.0037
galaxy_a10_b10_c80_v3.col,10,10,80,3,575,565,82.0,0.0,0.16781,0.0042
galaxy_a10_b10_c80_v4.col,10,10,80,4,435,425,75.0,0.0,0.08414,0.0006
galaxy_a10_b10_c80_v5.col,10,10,80,5,424,414,77.0,0.0,0.06604,0.0004
galaxy_a10_b10_c90_v1.col,10,10,90,1,550,540,90.0,0.0,0.09808,0.0008
galaxy_a10_b10_c90_v2.col,10,10,90,2,618,608,85.0,0.0,0.21138,0.0607
galaxy_a10_b10_c90_v3.col,10,10,90,3,438,428,71.0,0.0,0.06947,0.0026
galaxy_a10_b10_c90_v4.col,10,10,90,4,475,465,89.0,0.0,0.07642,0.0002
galaxy_a10_b10_c90_v5.col,10,10,90,5,593,583,87.0,0.0,0.1569,0.0084
galaxy_a15_b10_c100_v1.col,15,10,100,1,876,861,94.0,0.0,0.24995,0.0098
galaxy_a15_b10_c100_v2.col,15,10,100,2,750,735,100.0,0.0,0.15547,0.0002
galaxy_a15_b10_c100_v3.col,15,10,100,3,939,924,102.0,0.0,0.27666,0.0111
galaxy_a15_b10_c100_v4.col,15,10,100,4,774,759,90.0,0.0,0.30006,0.07
galaxy_a15_b10_c100_v5.col,15,10,100,5,783,768,99.0,0.0,0.18326,0.0095
galaxy_a15_b10_c20_v1.col,15,10,20,1,251,236,26.4,0.2449,0.06717,0.0072
galaxy_a15_b10_c20_v2.col,15,10,20,2,265,250,27.8,0.2,0.07131,0.0063
galaxy_a15_b10_c20_v3.col,15,10,20,3,239,224,25.8,0.3742,0.06526,0.0068
galaxy_a15_b10_c20_v4.col,15,10,20,4,232,217,25.0,0.0,0.05595,0.0006
galaxy_a15_b10_c20_v5.col,15,10,20,5,248,233,26.0,0.0,0.07215,0.0064
galaxy_a15_b10_c30_v1.col,15,10,30,1,305,290,31.0,0.0,0.08314,0.0018
galaxy_a15_b10_c30_v2.col,15,10,30,2,308,293,30.2,0.3742,0.09012,0.0083
galaxy_a15_b10_c30_v3.col,15,10,30,3,319,304,31.6,0.2449,0.08971,0.0092
galaxy_a15_b10_c30_v4.col,15,10,30,4,300,285,31.0,0.0,0.06948,0.0043
galaxy_a15_b10_c30_v5.col,15,10,30,5,345,330,32.8,0.2,0.13385,0.013
galaxy_a15_b10_c40_v1.col,15,10,40,1,423,408,40.4,0.2449,0.14121,0.0152
galaxy_a15_b10_c40_v2.col,15,10,40,2,435,420,41.6,0.2449,0.13824,0.0131
galaxy_a15_b10_c40_v3.col,15,10,40,3,358,343,41.0,0.0,0.06155,0.0026
galaxy_a15_b10_c40_v4.col,15,10,40,4,341,326,38.0,0.0,0.08138,0.0027
